uee,yee
14.20483009,40.00520833
19.80264648,44.98437500
23.83959421,49.99479167
28.21165212,55.02083333
31.83170923,60.03645833
38.17300479,65.00000000
42.32004642,69.96875000
46.12934875,75.01041667
51.58843581,80.11979167
59.93070380,85.01041667
60.36520640,90.10937500
66.20457013,95.11979167
