t,r,y,u
63.20000000,60.00000000,52.43750000,85.68680573
64.00000000,60.00000000,54.37500000,78.06855011
64.80000000,60.00000000,56.37500000,64.62825012
65.60000000,60.00000000,58.12500000,49.55285263
66.40000000,60.00000000,59.25000000,38.69754791
67.20000000,60.00000000,59.81250000,32.79058838
68.00000000,60.00000000,60.12500000,28.92315674
68.80000000,60.00000000,60.06250000,29.47298622
69.60000000,60.00000000,60.00000000,30.18254471
70.40000000,60.00000000,59.87500000,31.92124176
71.20000000,60.00000000,59.87500000,32.24076080
72.00000000,60.00000000,59.87500000,32.56027985
72.80000000,60.00000000,59.93750000,32.01044846
73.60000000,60.00000000,60.00000000,31.30089188
74.40000000,60.00000000,60.06250000,30.43154335
75.20000000,60.00000000,60.12500000,29.40240479
76.00000000,60.00000000,60.18750000,28.21353722
76.80000000,60.00000000,60.18750000,27.73422813
77.60000000,60.00000000,60.12500000,28.12426758
78.40000000,60.00000000,60.06250000,28.67409706
79.20000000,60.00000000,60.00000000,29.38365555
80.00000000,60.00000000,60.00000000,29.38365555
80.80000000,60.00000000,60.00000000,29.38365555
81.60000000,60.00000000,60.06250000,28.51430702
82.40000000,60.00000000,60.06250000,28.35451698
83.20000000,60.00000000,60.00000000,29.06407547
84.00000000,60.00000000,60.06250000,28.19472694
84.80000000,60.00000000,60.00000000,28.90428543
85.60000000,60.00000000,60.00000000,28.90428543
86.40000000,60.00000000,60.06250000,28.03493690
87.20000000,60.00000000,60.00000000,28.74449539
88.00000000,60.00000000,60.06250000,27.87514687
88.80000000,60.00000000,60.00000000,28.58470535
89.60000000,60.00000000,60.00000000,28.58470535
90.40000000,60.00000000,60.00000000,28.58470535
91.20000000,60.00000000,60.00000000,28.58470535
92.00000000,60.00000000,60.06250000,27.71535683
92.80000000,60.00000000,60.00000000,28.42491531
93.60000000,60.00000000,60.00000000,28.42491531
94.40000000,60.00000000,60.00000000,28.42491531
95.20000000,60.00000000,60.00000000,28.42491531
96.00000000,60.00000000,60.00000000,28.42491531
96.80000000,60.00000000,60.00000000,28.42491531
97.60000000,60.00000000,60.00000000,28.42491531
98.40000000,60.00000000,60.00000000,28.42491531
99.20000000,60.00000000,60.00000000,28.42491531
100.00000000,60.00000000,60.00000000,28.42491531
100.80000000,60.00000000,60.00000000,28.42491531
101.60000000,60.00000000,59.93750000,29.29426384
102.40000000,60.00000000,60.00000000,28.58470535
103.20000000,60.00000000,60.00000000,28.58470535
104.00000000,60.00000000,60.06250000,27.71535683
104.80000000,60.00000000,60.00000000,28.42491531
105.60000000,60.00000000,60.00000000,28.42491531
106.40000000,60.00000000,60.00000000,28.42491531
107.20000000,60.00000000,60.00000000,28.42491531
108.00000000,60.00000000,60.00000000,28.42491531
108.80000000,60.00000000,60.00000000,28.42491531
109.60000000,60.00000000,60.00000000,28.42491531
110.40000000,60.00000000,60.00000000,28.42491531
111.20000000,60.00000000,60.00000000,28.42491531
112.00000000,60.00000000,60.00000000,28.42491531
112.80000000,60.00000000,60.00000000,28.42491531
113.60000000,60.00000000,60.00000000,28.42491531
114.40000000,60.00000000,60.00000000,28.42491531
115.20000000,60.00000000,60.06250000,27.55556679
116.00000000,60.00000000,60.06250000,27.39577675
116.80000000,60.00000000,60.06250000,27.23598671
117.60000000,60.00000000,60.00000000,27.94554520
118.40000000,60.00000000,60.00000000,27.94554520
119.20000000,60.00000000,60.00000000,27.94554520
120.00000000,60.00000000,60.00000000,27.94554520
