t,u,y
0.00000000,23.10144806,60.25000000
0.80000000,19.10144806,60.31250000
1.60000000,19.10144806,60.31250000
2.40000000,19.10144806,60.18750000
3.20000000,19.10144806,60.06250000
4.00000000,19.10144806,59.93750000
4.80000000,19.10144806,59.81250000
5.60000000,19.10144806,59.75000000
6.40000000,19.10144806,59.68750000
7.20000000,19.10144806,59.56250000
8.00000000,19.10144806,59.43750000
8.80000000,19.10144806,59.25000000
9.60000000,19.10144806,59.18750000
10.40000000,19.10144806,59.06250000
11.20000000,19.10144806,58.93750000
12.00000000,19.10144806,58.87500000
12.80000000,19.10144806,58.75000000
13.60000000,19.10144806,58.68750000
14.40000000,19.10144806,58.62500000
15.20000000,19.10144806,58.50000000
16.00000000,27.10144806,58.50000000
16.80000000,27.10144806,58.43750000
17.60000000,27.10144806,58.56250000
18.40000000,27.10144806,58.75000000
19.20000000,27.10144806,58.87500000
20.00000000,27.10144806,59.06250000
20.80000000,27.10144806,59.25000000
21.60000000,27.10144806,59.43750000
22.40000000,27.10144806,59.56250000
23.20000000,27.10144806,59.68750000
24.00000000,27.10144806,59.87500000
24.80000000,27.10144806,60.06250000
25.60000000,27.10144806,60.18750000
26.40000000,27.10144806,60.31250000
27.20000000,27.10144806,60.43750000
28.00000000,27.10144806,60.62500000
28.80000000,27.10144806,60.75000000
29.60000000,27.10144806,60.87500000
30.40000000,27.10144806,61.00000000
31.20000000,27.10144806,61.12500000
32.00000000,27.10144806,61.25000000
32.80000000,27.10144806,61.31250000
33.60000000,27.10144806,61.43750000
34.40000000,27.10144806,61.56250000
35.20000000,27.10144806,61.68750000
36.00000000,27.10144806,61.81250000
36.80000000,27.10144806,61.87500000
37.60000000,27.10144806,62.00000000
38.40000000,27.10144806,62.12500000
39.20000000,27.10144806,62.25000000
40.00000000,27.10144806,62.37500000
40.80000000,27.10144806,62.50000000
41.60000000,27.10144806,62.62500000
42.40000000,27.10144806,62.68750000
43.20000000,27.10144806,62.81250000
44.00000000,27.10144806,62.87500000
44.80000000,27.10144806,62.93750000
45.60000000,27.10144806,63.00000000
46.40000000,27.10144806,63.06250000
47.20000000,27.10144806,63.12500000
48.00000000,19.10144806,63.18750000
48.80000000,19.10144806,63.18750000
49.60000000,19.10144806,63.06250000
50.40000000,19.10144806,62.87500000
51.20000000,19.10144806,62.68750000
52.00000000,19.10144806,62.50000000
52.80000000,19.10144806,62.37500000
53.60000000,19.10144806,62.25000000
54.40000000,19.10144806,62.06250000
55.20000000,19.10144806,61.87500000
56.00000000,19.10144806,61.75000000
56.80000000,19.10144806,61.62500000
57.60000000,19.10144806,61.56250000
58.40000000,19.10144806,61.43750000
59.20000000,19.10144806,61.37500000
60.00000000,19.10144806,61.31250000
60.80000000,19.10144806,61.25000000
61.60000000,19.10144806,61.12500000
62.40000000,19.10144806,61.00000000
63.20000000,19.10144806,60.87500000
64.00000000,19.10144806,60.75000000
64.80000000,19.10144806,60.62500000
65.60000000,19.10144806,60.50000000
66.40000000,19.10144806,60.37500000
67.20000000,19.10144806,60.25000000
68.00000000,19.10144806,60.18750000
68.80000000,19.10144806,60.06250000
69.60000000,19.10144806,60.00000000
70.40000000,19.10144806,59.93750000
71.20000000,19.10144806,59.87500000
72.00000000,19.10144806,59.75000000
72.80000000,19.10144806,59.62500000
73.60000000,19.10144806,59.56250000
74.40000000,19.10144806,59.50000000
75.20000000,19.10144806,59.43750000
76.00000000,19.10144806,59.37500000
76.80000000,19.10144806,59.31250000
77.60000000,19.10144806,59.25000000
78.40000000,19.10144806,59.18750000
79.20000000,19.10144806,59.18750000
80.00000000,27.10144806,59.06250000
80.80000000,27.10144806,59.06250000
81.60000000,27.10144806,59.18750000
82.40000000,27.10144806,59.37500000
83.20000000,27.10144806,59.62500000
84.00000000,27.10144806,59.75000000
84.80000000,27.10144806,59.87500000
85.60000000,27.10144806,60.06250000
86.40000000,27.10144806,60.18750000
87.20000000,27.10144806,60.37500000
88.00000000,27.10144806,60.56250000
88.80000000,27.10144806,60.68750000
89.60000000,27.10144806,60.87500000
90.40000000,27.10144806,61.00000000
91.20000000,27.10144806,61.12500000
92.00000000,27.10144806,61.25000000
92.80000000,27.10144806,61.37500000
93.60000000,27.10144806,61.50000000
94.40000000,27.10144806,61.62500000
95.20000000,27.10144806,61.75000000
96.00000000,27.10144806,61.87500000
96.80000000,27.10144806,62.00000000
97.60000000,27.10144806,62.06250000
98.40000000,27.10144806,62.12500000
99.20000000,27.10144806,62.25000000
100.00000000,27.10144806,62.31250000
100.80000000,27.10144806,62.37500000
101.60000000,27.10144806,62.50000000
102.40000000,27.10144806,62.62500000
103.20000000,27.10144806,62.68750000
104.00000000,27.10144806,62.81250000
104.80000000,27.10144806,62.87500000
