t,u,y
-10.40000000,27.65410995,60.00000000
-9.60000000,27.65410995,60.00000000
-8.80000000,27.65410995,60.00000000
-8.00000000,27.65410995,60.00000000
-7.20000000,27.65410995,60.00000000
-6.40000000,27.65410995,60.00000000
-5.60000000,27.65410995,60.00000000
-4.80000000,27.65410995,59.93750000
-4.00000000,27.65410995,59.93750000
-3.20000000,27.65410995,59.87500000
-2.40000000,27.65410995,59.87500000
-1.60000000,27.65410995,59.81250000
-0.80000000,27.65410995,59.87500000
0.00000000,37.65410995,59.87500000
0.80000000,37.65410995,59.87500000
1.60000000,37.65410995,60.12500000
2.40000000,37.65410995,60.37500000
3.20000000,37.65410995,60.68750000
4.00000000,37.65410995,61.00000000
4.80000000,37.65410995,61.25000000
5.60000000,37.65410995,61.56250000
6.40000000,37.65410995,61.81250000
7.20000000,37.65410995,62.06250000
8.00000000,37.65410995,62.31250000
8.80000000,37.65410995,62.56250000
9.60000000,37.65410995,62.81250000
10.40000000,37.65410995,63.06250000
11.20000000,37.65410995,63.25000000
12.00000000,37.65410995,63.43750000
12.80000000,37.65410995,63.62500000
13.60000000,37.65410995,63.75000000
14.40000000,37.65410995,63.93750000
15.20000000,37.65410995,64.06250000
16.00000000,37.65410995,64.25000000
16.80000000,37.65410995,64.43750000
17.60000000,37.65410995,64.62500000
18.40000000,37.65410995,64.81250000
19.20000000,37.65410995,64.93750000
20.00000000,37.65410995,65.12500000
20.80000000,37.65410995,65.25000000
21.60000000,37.65410995,65.37500000
22.40000000,37.65410995,65.50000000
23.20000000,37.65410995,65.68750000
24.00000000,37.65410995,65.81250000
24.80000000,37.65410995,65.93750000
25.60000000,37.65410995,66.06250000
26.40000000,37.65410995,66.18750000
27.20000000,37.65410995,66.31250000
28.00000000,37.65410995,66.43750000
28.80000000,37.65410995,66.56250000
29.60000000,37.65410995,66.62500000
30.40000000,37.65410995,66.75000000
31.20000000,37.65410995,66.81250000
32.00000000,37.65410995,66.93750000
32.80000000,37.65410995,67.06250000
33.60000000,37.65410995,67.18750000
34.40000000,37.65410995,67.37500000
35.20000000,37.65410995,67.50000000
36.00000000,37.65410995,67.62500000
36.80000000,37.65410995,67.75000000
37.60000000,37.65410995,67.87500000
38.40000000,37.65410995,68.00000000
39.20000000,37.65410995,68.12500000
40.00000000,37.65410995,68.25000000
40.80000000,37.65410995,68.37500000
41.60000000,37.65410995,68.43750000
42.40000000,37.65410995,68.50000000
43.20000000,37.65410995,68.56250000
44.00000000,37.65410995,68.62500000
44.80000000,37.65410995,68.68750000
45.60000000,37.65410995,68.75000000
46.40000000,37.65410995,68.81250000
47.20000000,37.65410995,68.93750000
48.00000000,37.65410995,69.00000000
48.80000000,37.65410995,69.00000000
49.60000000,37.65410995,69.06250000
50.40000000,37.65410995,69.00000000
51.20000000,37.65410995,69.00000000
52.00000000,37.65410995,68.93750000
52.80000000,37.65410995,68.93750000
53.60000000,37.65410995,69.00000000
54.40000000,37.65410995,69.00000000
55.20000000,37.65410995,69.00000000
56.00000000,37.65410995,69.00000000
56.80000000,37.65410995,69.06250000
57.60000000,37.65410995,69.06250000
58.40000000,37.65410995,69.12500000
59.20000000,37.65410995,69.18750000
60.00000000,37.65410995,69.25000000
60.80000000,37.65410995,69.25000000
61.60000000,37.65410995,69.31250000
62.40000000,37.65410995,69.37500000
63.20000000,37.65410995,69.43750000
64.00000000,37.65410995,69.50000000
64.80000000,37.65410995,69.56250000
65.60000000,37.65410995,69.56250000
66.40000000,37.65410995,69.62500000
67.20000000,37.65410995,69.68750000
68.00000000,37.65410995,69.75000000
68.80000000,37.65410995,69.81250000
69.60000000,37.65410995,69.87500000
70.40000000,37.65410995,69.93750000
71.20000000,37.65410995,69.93750000
72.00000000,37.65410995,70.00000000
72.80000000,37.65410995,70.00000000
73.60000000,37.65410995,70.06250000
74.40000000,37.65410995,70.12500000
75.20000000,37.65410995,70.18750000
76.00000000,37.65410995,70.18750000
76.80000000,37.65410995,70.25000000
77.60000000,37.65410995,70.25000000
78.40000000,37.65410995,70.25000000
79.20000000,37.65410995,70.25000000
80.00000000,37.65410995,70.31250000
80.80000000,37.65410995,70.31250000
81.60000000,37.65410995,70.37500000
82.40000000,37.65410995,70.43750000
83.20000000,37.65410995,70.43750000
84.00000000,37.65410995,70.43750000
84.80000000,37.65410995,70.50000000
85.60000000,37.65410995,70.56250000
86.40000000,37.65410995,70.62500000
87.20000000,37.65410995,70.62500000
88.00000000,37.65410995,70.62500000
88.80000000,37.65410995,70.62500000
89.60000000,37.65410995,70.68750000
90.40000000,37.65410995,70.68750000
91.20000000,37.65410995,70.75000000
92.00000000,37.65410995,70.75000000
92.80000000,37.65410995,70.75000000
93.60000000,37.65410995,70.75000000
94.40000000,37.65410995,70.81250000
95.20000000,37.65410995,70.87500000
96.00000000,37.65410995,70.87500000
96.80000000,37.65410995,70.93750000
97.60000000,37.65410995,71.00000000
98.40000000,37.65410995,71.00000000
99.20000000,37.65410995,71.00000000
100.00000000,37.65410995,71.00000000
100.80000000,37.65410995,71.00000000
101.60000000,37.65410995,71.00000000
102.40000000,37.65410995,71.06250000
103.20000000,37.65410995,71.06250000
104.00000000,37.65410995,71.12500000
104.80000000,37.65410995,71.18750000
105.60000000,37.65410995,71.25000000
106.40000000,37.65410995,71.25000000
107.20000000,37.65410995,71.31250000
108.00000000,37.65410995,71.31250000
108.80000000,37.65410995,71.31250000
109.60000000,37.65410995,71.37500000
110.40000000,37.65410995,71.37500000
111.20000000,37.65410995,71.37500000
112.00000000,37.65410995,71.43750000
112.80000000,37.65410995,71.43750000
113.60000000,37.65410995,71.43750000
114.40000000,37.65410995,71.43750000
115.20000000,37.65410995,71.50000000
116.00000000,37.65410995,71.50000000
116.80000000,37.65410995,71.56250000
117.60000000,37.65410995,71.56250000
118.40000000,37.65410995,71.56250000
119.20000000,37.65410995,71.56250000
120.00000000,37.65410995,71.56250000
120.80000000,37.65410995,71.56250000
121.60000000,37.65410995,71.62500000
122.40000000,37.65410995,71.68750000
123.20000000,37.65410995,71.68750000
124.00000000,37.65410995,71.75000000
124.80000000,37.65410995,71.81250000
125.60000000,37.65410995,71.87500000
126.40000000,37.65410995,71.93750000
127.20000000,37.65410995,71.93750000
128.00000000,37.65410995,72.00000000
128.80000000,37.65410995,72.00000000
129.60000000,37.65410995,72.00000000
130.40000000,37.65410995,72.00000000
131.20000000,37.65410995,72.00000000
132.00000000,37.65410995,71.93750000
132.80000000,37.65410995,71.93750000
133.60000000,37.65410995,72.00000000
134.40000000,37.65410995,72.00000000
135.20000000,37.65410995,72.06250000
136.00000000,37.65410995,72.12500000
136.80000000,37.65410995,72.18750000
137.60000000,37.65410995,72.25000000
138.40000000,37.65410995,72.25000000
139.20000000,37.65410995,72.31250000
140.00000000,37.65410995,72.31250000
140.80000000,37.65410995,72.31250000
141.60000000,37.65410995,72.37500000
142.40000000,37.65410995,72.37500000
143.20000000,37.65410995,72.37500000
144.00000000,37.65410995,72.43750000
144.80000000,37.65410995,72.43750000
145.60000000,37.65410995,72.50000000
146.40000000,37.65410995,72.50000000
147.20000000,37.65410995,72.56250000
148.00000000,37.65410995,72.56250000
148.80000000,37.65410995,72.56250000
149.60000000,37.65410995,72.56250000
150.40000000,37.65410995,72.62500000
151.20000000,37.65410995,72.62500000
152.00000000,37.65410995,72.68750000
152.80000000,37.65410995,72.62500000
153.60000000,37.65410995,72.68750000
154.40000000,37.65410995,72.68750000
155.20000000,37.65410995,72.68750000
156.00000000,37.65410995,72.68750000
156.80000000,37.65410995,72.75000000
157.60000000,37.65410995,72.75000000
158.40000000,37.65410995,72.81250000
159.20000000,37.65410995,72.81250000
160.00000000,37.65410995,72.87500000
160.80000000,37.65410995,72.93750000
161.60000000,37.65410995,72.93750000
162.40000000,37.65410995,73.00000000
163.20000000,37.65410995,73.06250000
164.00000000,37.65410995,73.06250000
164.80000000,37.65410995,73.06250000
165.60000000,37.65410995,73.06250000
166.40000000,37.65410995,73.06250000
167.20000000,37.65410995,73.06250000
168.00000000,37.65410995,73.06250000
168.80000000,37.65410995,73.00000000
169.60000000,37.65410995,73.00000000
170.40000000,37.65410995,73.00000000
171.20000000,37.65410995,72.93750000
172.00000000,37.65410995,72.93750000
172.80000000,37.65410995,72.93750000
173.60000000,37.65410995,72.93750000
174.40000000,37.65410995,72.93750000
175.20000000,37.65410995,72.93750000
176.00000000,37.65410995,72.93750000
176.80000000,37.65410995,73.00000000
177.60000000,37.65410995,73.00000000
178.40000000,37.65410995,73.00000000
179.20000000,37.65410995,73.00000000
180.00000000,37.65410995,73.00000000
180.80000000,37.65410995,73.06250000
181.60000000,37.65410995,73.06250000
182.40000000,37.65410995,73.06250000
183.20000000,37.65410995,73.06250000
184.00000000,37.65410995,73.06250000
184.80000000,37.65410995,73.06250000
185.60000000,37.65410995,73.00000000
186.40000000,37.65410995,73.00000000
187.20000000,37.65410995,73.06250000
188.00000000,37.65410995,73.06250000
188.80000000,37.65410995,73.06250000
189.60000000,37.65410995,73.12500000
190.40000000,37.65410995,73.12500000
191.20000000,37.65410995,73.18750000
