uee,yee
2.59518061,28.89062500
3.54889774,29.08333333
4.47374960,29.87500000
5.41107750,30.69270833
6.38270072,31.37500000
7.25654189,32.40104167
8.20796716,33.16666667
9.15074102,33.98437500
10.02698286,34.97916667
11.01804948,35.70833333
11.95439871,36.46875000
12.94466885,37.04687500
